Sname,code
元大台灣50,0050
中保科,9917
崇越,5434
中信金,2891
元大高股息,0056
新保,9925
國泰台灣5G+,00881
可寧衛,8422
和碩,4938
台郡,6269
義隆,2458
台灣大,3045
英業達,2356
中華電,2412
台泥,1101
燁輝,2023
